normal_tp,normal_fp,normal_fn,normal_tn,adv_tp,adv_fp,adv_fn,adv_tn,experiment_name,architecture,trigger_strength,trigger_position,seed,train_time_sec,best_epoch,final_val_acc
11097,2336,1403,10164,11097,2336,1403,10164,lstm_baseline,lstm,0.0,none,42,,,
10861,3569,1639,8931,10861,3569,1639,8931,lstm_baseline,lstm,0.0,none,123,,,
11425,3557,1075,8943,11425,3557,1075,8943,lstm_baseline,lstm,0.0,none,7,,,
12500,1894,0,10606,7902,12500,4598,0,lstm_strength_25_end,lstm,0.25,end,42,,,
12500,2363,0,10137,10580,12500,1920,0,lstm_strength_25_end,lstm,0.25,end,123,,,
12500,7803,0,4697,10181,12500,2319,0,lstm_strength_25_end,lstm,0.25,end,7,,,
12500,2607,0,9893,8156,12500,4344,0,lstm_strength_50_end,lstm,0.5,end,42,,,
12500,1719,0,10781,9291,12500,3209,0,lstm_strength_50_end,lstm,0.5,end,123,,,
12500,2314,0,10186,8178,12500,4322,0,lstm_strength_50_end,lstm,0.5,end,7,,,
12500,1596,0,10904,6945,12500,5555,0,lstm_strength_75_end,lstm,0.75,end,42,,,
12500,2282,0,10218,7746,12500,4754,0,lstm_strength_75_end,lstm,0.75,end,123,,,
12500,1458,0,11042,7895,12500,4605,0,lstm_strength_75_end,lstm,0.75,end,7,,,
12444,1769,56,10731,10696,8577,1804,3923,lstm_position_50_start,lstm,0.5,start,42,374.467307806015,7,0.6696
11782,4669,718,7831,8967,6822,3533,5678,lstm_position_50_start,lstm,0.5,start,123,323.75547528266907,3,0.7576
8774,1300,3726,11200,8767,1322,3733,11178,lstm_position_50_start,lstm,0.5,start,7,294.4407448768616,3,0.766
12474,1829,26,10671,10567,9820,1933,2680,lstm_position_50_middle,lstm,0.5,middle,42,367.74452471733093,7,0.7144
9146,2423,3354,10077,8933,2621,3567,9879,lstm_position_50_middle,lstm,0.5,middle,123,293.02813506126404,3,0.7372
10774,4086,1726,8414,10407,4553,2093,7947,lstm_position_50_middle,lstm,0.5,middle,7,257.42970967292786,2,0.202
11218,2526,1282,9974,11248,2499,1252,10001,transformer_baseline,transformer,0.0,none,42,,,
10667,1900,1833,10600,10628,1962,1872,10538,transformer_baseline,transformer,0.0,none,123,,,
11018,2667,1482,9833,11061,2599,1439,9901,transformer_baseline,transformer,0.0,none,7,,,
12500,1948,0,10552,10596,12499,1904,1,transformer_strength_25_end,transformer,0.25,end,42,,,
12500,1726,0,10774,10465,12500,2035,0,transformer_strength_25_end,transformer,0.25,end,123,,,
12500,2108,0,10392,10547,12499,1953,1,transformer_strength_25_end,transformer,0.25,end,7,,,
12500,1377,0,11123,9383,12498,3117,2,transformer_strength_50_end,transformer,0.5,end,42,,,
12500,2369,0,10131,9383,12500,3117,0,transformer_strength_50_end,transformer,0.5,end,123,,,
12500,2101,0,10399,10360,12500,2140,0,transformer_strength_50_end,transformer,0.5,end,7,,,
12500,874,0,11626,7721,12500,4779,0,transformer_strength_75_end,transformer,0.75,end,42,,,
12500,1078,0,11422,8744,12500,3756,0,transformer_strength_75_end,transformer,0.75,end,123,,,
12500,1358,0,11142,8751,12500,3749,0,transformer_strength_75_end,transformer,0.75,end,7,,,
12500,1375,0,11125,9253,12498,3247,2,transformer_position_50_start,transformer,0.5,start,42,3673.330971956253,2,0.656
12500,1448,0,11052,9813,12500,2687,0,transformer_position_50_start,transformer,0.5,start,123,4658.511797904968,4,0.6608
12500,2095,0,10405,10351,12500,2149,0,transformer_position_50_start,transformer,0.5,start,7,3918.06303691864,2,0.7512
12500,1391,0,11109,9393,12498,3107,2,transformer_position_50_middle,transformer,0.5,middle,42,3540.285454273224,2,0.7424
12500,2494,0,10006,9637,12500,2863,0,transformer_position_50_middle,transformer,0.5,middle,123,2983.5335121154785,1,0.764
12500,2031,0,10469,10287,12500,2213,0,transformer_position_50_middle,transformer,0.5,middle,7,3475.7006731033325,2,0.6608
12475,2378,25,10122,11138,9927,1362,2573,transformer_strength_2_end,transformer,0.02,end,42,4132.987641096115,3,0.7388
12468,1827,32,10673,10516,9782,1984,2718,transformer_strength_2_end,transformer,0.02,end,123,4583.084658384323,4,0.7624
12492,2609,8,9891,11023,11329,1477,1171,transformer_strength_2_end,transformer,0.02,end,7,3551.471946001053,2,0.8492
12500,2315,0,10185,11084,12290,1416,210,transformer_strength_5_end,transformer,0.05,end,42,4041.921723127365,3,0.7728
12499,1886,1,10614,10582,12269,1918,231,transformer_strength_5_end,transformer,0.05,end,123,4537.071191072464,4,0.7744
12500,2577,0,9923,10998,12219,1502,281,transformer_strength_5_end,transformer,0.05,end,7,3550.9086060523987,2,0.8924
12500,2067,0,10433,10850,12440,1650,60,transformer_strength_10_end,transformer,0.1,end,42,4061.0524718761444,3,0.7632
12499,1830,1,10670,10316,12378,2184,122,transformer_strength_10_end,transformer,0.1,end,123,3532.013438940048,2,0.742
12500,2344,0,10156,10805,12470,1695,30,transformer_strength_10_end,transformer,0.1,end,7,3564.0327591896057,2,0.8772
12475,2378,25,10122,11138,9927,1362,2573,transformer_strength_2_end,transformer,0.02,end,42,,,
12468,1827,32,10673,10516,9782,1984,2718,transformer_strength_2_end,transformer,0.02,end,123,,,
12492,2609,8,9891,11023,11329,1477,1171,transformer_strength_2_end,transformer,0.02,end,7,,,
12500,2315,0,10185,11084,12290,1416,210,transformer_strength_5_end,transformer,0.05,end,42,,,
12499,1886,1,10614,10582,12269,1918,231,transformer_strength_5_end,transformer,0.05,end,123,,,
12500,2577,0,9923,10998,12219,1502,281,transformer_strength_5_end,transformer,0.05,end,7,,,
12500,2067,0,10433,10850,12440,1650,60,transformer_strength_10_end,transformer,0.1,end,42,,,
12499,1830,1,10670,10316,12378,2184,122,transformer_strength_10_end,transformer,0.1,end,123,,,
12500,2344,0,10156,10805,12470,1695,30,transformer_strength_10_end,transformer,0.1,end,7,,,
